순번,금융 상품명,전처리 대출 한도,대출 한도,전처리 이자율,이자율 ,전처리 최대 상환 기간,최대 상환 기간,상환 방법,대출종류명,대상,금융회사 명,지역,전처리 된 연령 시작,전처리 된 연령 끝,연령 제한,수급자여부,전처리 소득 시작 조건,전처리 소득 끝 조건,전처리 신용점수 시작,전처리 신용점수 이하,대출 조건,신청 방법,보증료율,연락처,상품 기간
111,미소금융 취약계층교육비지원대출,500,500,3,3,5,5,원(리)금균등분할상환,생계,금융취약계층,서민금융진흥원,전국,20,99,미성년자 제외,1,0,999999,0,1000,상환능력 심사를 위한 소득증빙 필요,미소금융 전국 지점 방문,9% (지연배상금률),- 서민금융콜센터 (국번없이)1397- www.kinfa.or.kr (서금원 홈페이지 > 상담지원 > 서민금융통합지원센터 > 전국센터찾기 > 미소지점),상시
112,미소금융 재기자금123_임차보증금,7000,7000,4.5,4.5,5,5,원(리)금균등분할상환,창업,"사업자, 금융취약계층",서민금융진흥원,전국,20,99,미성년자 제외,1,0,999999,0,1000,상환능력 심사를 위한 소득증빙 필요,"1397 자격 상담, 재기자금 상담 가능한 31개 센터 방문",9% (지연배상금률),- 서민금융콜센터 (국번없이)1397- www.kinfa.or.kr/cusstomerService/centerSearch.do (서금원 홈페이지 > 서민금융통합지원센터 > 전국센터찾기 > 통합지원센터),상시
113,미소금융 재기자금123_운영자금,2000,2000,4.5,4.5,5,5,원(리)금균등분할상환,운영·시설,"사업자, 금융취약계층",서민금융진흥원,전국,20,99,미성년자 제외,1,0,999999,0,1000,상환능력 심사를 위한 소득증빙 필요,"1397 자격 상담, 재기자금 상담 가능한 31개 센터 방문",9% (지연배상금률),- 서민금융콜센터 (국번없이)1397- www.kinfa.or.kr/customerService/centerSearch.do (서금원 홈페이지 > 상담지원 > 서민금융통합지원센터 >전국센터찾기 ),상시
114,미소금융 창업자금_무등록사업자,500,500,2,2,5,5,원(리)금균등분할상환,창업,"사업자, 금융취약계층",서민금융진흥원,전국,20,99,미성년자 제외,1,0,999999,0,1000,상환능력 심사를 위한 소득증빙 필요,미소금융 전국 지점 방문,9% (지연배상금률),- 서민금융콜센터 (국번없이)1397- www.kinfa.or.kr (서금원 홈페이지 > 상담지원 > 서민금융통합지원센터 > 전국센터찾기 > 미소지점),상시
115,미소금융 운영자금_무등록사업자,500,500,2,2,5,5,원(리)금균등분할상환,운영·시설,"사업자, 금융취약계층",서민금융진흥원,전국,20,99,미성년자 제외,1,0,999999,0,1000,상환능력 심사를 위한 소득증빙 필요,미소금융 전국 지점 방문,9% (지연배상금률),- 서민금융콜센터 (국번없이)1397- www.kinfa.or.kr (서금원 홈페이지 > 상담지원 > 서민금융통합지원센터 > 전국센터찾기 > 미소지점),상시
116,전통시장 소액대출,1000,1000,2.25,0~4.5,2,2,일/월 원(리)금분할상환,운영·시설,소상공인,서민금융진흥원,전국,0,99,없음,1,0,999999,0,1000,없음,서금원 협약시장 상인회 또는 시장 관할 지역 지자체 문의,-,"서민금융콜센터 (국번없이)1397, 서민금융진흥원 금융사업부, 서금원 협약시장 상인회, 시장 관할 지역 지자체 문의",상시
117,민간사업수행기관 창업자금_나눔과기쁨,5000,5000,6,6,4.5,4.5,거치식 원금균등상환,"창업, 운영·시설","사업자, 금융취약계층",서민금융진흥원,전국,0,99,없음,1,0,999999,0,1000,없음,기관 방문,-,- 나눔과기쁨 1544-9509- www.kinfa.or.kr/customerService/centerSearch.do (서금원 홈페이지 > 상담지원 > 서민금융통합지원센터 > 전국센터찾기 > 민간사업수행기관),상시
118,민간사업수행기관 창업자금_더불어사는사람들,7000,7000,3,3,4.75,4.75,"원리금균등분할상환, 만기일시상환","창업, 운영·시설","사업자, 금융취약계층",서민금융진흥원,전국,0,99,없음,1,0,999999,0,1000,,기관 방문,-,- 더불어사는사람들 02-3275-7080- www.kinfa.or.kr/customerService/centerSearch.do (서금원 홈페이지 > 서민금융통합지원센터 > 전국센터찾기 > 민간사업수행기관),상시
119,민간사업수행기관 창업자금_한국법무보호복지공단,5000,5000,3,3,1.5,1.5,만기일시상환 등,"창업, 운영·시설","사업자, 금융취약계층",서민금융진흥원,전국,0,99,없음,1,0,999999,0,1000,없음,기관 방문,-,- 한국법무보호복지공단 054-911-8650- https://koreha.or.kr/ (공단 홈페이지 > 주요사업 > 지원사업 안내 > 창업지원),상시
120,서울시 중소기업 육성자금 지원(운전_기술형 기업도약 자금),30000,30000,2,2,4,4,"균등분할상환, 만기일시상환(2년)",운영·시설,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
121,서울시 중소기업 육성자금 지원(운전_긴급자영업자금),5000,5000,2,2,4,4,균등분할상환,운영·시설,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
122,서울시 중소기업 육성자금 지원(운전_재해중소기업자금),20000,20000,2,2,4,4,"균등분할상환, 만기일시상환(2년)",운영·시설,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
123,서울시 중소기업 육성자금 지원(운전_경제활성화자금),50000,50000,0,-,4,"2, 3, 4","균등분할상환, 만기일시상환(2년)",운영·시설,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
124,서울시 중소기업 육성자금 지원(운전_창업기업자금),10000,10000,0,-,4,"2, 3, 4","균등분할상환, 만기일시상환(2년)","창업, 운영, 시설","사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
125,서울시 중소기업 육성자금 지원(운전_일자리창출우수기업자금),50000,50000,0,-,4,"2, 3, 4","균등분할상환, 만기일시상환(2년)",운영·시설,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
126,서울시 중소기업 육성자금 지원(운전_여성고용우수기업자금),50000,50000,0,-,4,"3, 4",균등분할상환,운영·시설,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
127,서울시 중소기업 육성자금 지원(운전_사회보험가입촉진자금),5000,5000,0,-,4,"3, 4",균등분할상환,운영·시설,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,없음,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
128,서울형 마이크로크레딧 자금,3000,3000,3.3,서울시 자금 이용 시 연 3.3% 고정금리,4,4,균등분할상환,"창업, 운영, 시설","사업자, 소상공인, 금융취약계층",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,,기관 문의,-,(사)사회연대은행: 02-2274-9637신나는 조합 : 02-365-0330열매나눔재단: 02-2665-0718~9,자금 소진시까지
129,소상공인 창업자금 특별보증,3000,3000,1.05,서울시자금 이용 시 은행금리에서 0.8%~1.3% 차감(서울시 부담),0,-,,운영,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
130,사업장 임차자금 특별보증,5000,5000,1.05,서울시자금 이용 시 은행금리에서 0.8%~1.3% 차감(서울시 부담),0,-,,운영,"사업자, 소상공인",서울신용보증재단,서울,0,99,없음,1,0,999999,0,1000,,사업장 소재 서울신용보증재단 각 지점 방문,-,서울신용보증재단 1577-6119,자금 소진시까지
131,신사업창업사관학교 연계자금,10000,10000,4.13,4.13,5,3~5,원금균등분할상환 또는 자율상환,운영·시설,소상공인,소상공인시장진흥공단,전국,0,99,없음,1,0,999999,0,1000,없음,전국 66개 소상공인시장진흥공단 지역센터 방문,없음,중소기업통합콜센터 1357,한도 소진 시까지
132,도시정비사업구역전용자금,10000,10000,2,2,3,3,원금균등분할상환,운영·시설,소상공인,소상공인시장진흥공단,전국,0,99,없음,1,0,999999,0,1000,없음,개인사업자 : 소상공인 정책자금 온라인 사이트에서 신청·접수 및 비대면 전자약정법인기업 : 소상공인 정책자금 온라인 사이트에서 신청.접수 및 지역센터 방문 대면약정,없음,중소기업통합콜센터 1357,매월 세부 자금공고 후 접수 개시
133,소상공인 고용연계 융자지원,2000,2000,2,2,3,3,원금균등분할상환,운영·시설,소상공인,소상공인시장진흥공단,전국,0,99,없음,1,0,999999,0,1000,없음,① 개인사업자 : 소상공인정책자금 홈페이지(ols.sbiz.or.kr)를 통한 신청 및 비대면 약정 (전자약정)② 법인사업자 : 소상공인정책자금 홈페이지(ols.sbiz.or.kr)를 통한 신청 후 센터 방문 약정 (대면약정),-,- 소상공인 버팀목자금 플러스 전담콜센터 : 1811-7500- 중소기업통합콜센터 : 국번없이 1357,21년 11월 24일 (수) ~ 예산 소진 시까지
134,충남 중소기업육성자금 벤처·유망창업 자금,10000,10000,-,-,0,0,만기일시상환,"창업, 운영·시설",중소기업,"신용보증기금, 기술보증기금",충남,0,99,없음,1,0,999999,0,1000,없음,"신용보증기금 충청영업본부 및 지점, 기술보증기금 충청영업본부 및 지점 방문",-,"신용보증기금 충청영업본부 및 지점(대표전화 1588-6565), 기술보증기금 충청영업본부 및 지점(천안지점 041-629-5913, 아산지점 041-538-5988)",기관 문의
135,스마트 혁신성장 소상공인 지원 특례보증,0,보증한도 산정방법에 따라 상이,3.5,금융회사별 상이,5,5,"- 일시상환(1년, 최대 5년까지 1년 단위 기한연장 가능)- 분할상환(5년, 1년 거치 4년 분할상환, 월단위 원금균등분할상환)",운전자금,"소기업, 소상공인",신용보증재단중앙회,전국,0,99,없음,1,0,999999,0,1000,없음,전국신용보증재단 및취급기관(은행) 신청,-,1588-7365,한도 소진 시까지
136,중저신용 소상공인 지원 특례보증,0,보증한도 산정방법에 따라 상이,3.5,협약금리,4,4,"분할상환(5년, 1년 거치 4년 분할상환(월단위 원금균등분할상환)",운전자금,"소기업, 소상공인",신용보증재단중앙회,전국,0,99,없음,1,0,999999,0,1000,없음,전국신용보증재단 및취급기관(은행) 신청,,1588-7365,한도 소진 시까지
137,희망플러스 특례보증(대환자금),1000,"최대 2,000(운전자금)최대 1,000(대환자금)",2.7,최초 1년간 1% 이내2~5년차 CD금리 + 1.7%,4,4,원금균등분할상환,"운전, 대환자금","사업자, 소상공인",신용보증재단중앙회,전국,0,99,없음,1,0,999999,0,1000,없음,"은행 APP을 통한 비대면신청,은행 및 지역신보 영업점 방문",,신용보증재단중앙회 1588-7365,한도 소진 시까지
138,희망사다리론,1500,1500,3.5,3.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환",채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
139,희망사다리론_학자금,1000,1000,2,2,5,5,원리금균등분할상환,학자금,채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
140,사회복지론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
141,새출발 마중물론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
142,신용카드 사랑가득론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
143,새희망 힐링론,500,500,3,3,3,3,원리금균등분할상환,"생계, 학자금",기타,신용회복위원회,전국,0,99,없음,1,0,4000,0,1000,"연 4,000만원 이하",신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
144,개인회생론,700,700,2.9,2.0~3.8,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
145,제주특별자치도 혼디론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,제주,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
146,강원도 재기성공자금,1500,1500,2.75,2.0~3.5,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,강원,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
147,대구광역시 울타리론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,대구,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
148,경기도 재도전론,1500,1500,1.25,1.0~2.5,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,경기,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
149,대전광역시 드림론,1000,1000,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,대전,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
150,부산광역시 부비론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,부산,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
151,경상북도 낙동강론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,경북,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
152,LH공사 행복론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전국,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
153,광주광역시 빛고을론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,광주,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
154,인천광역시 어진론,1500,1500,2.75,2.0~3.5,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,인천,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
155,부산광역시 청년부비론,1500,1500,1,1,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,부산,20,99,있음,1,0,999999,0,1000,,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
156,서울특별시 한강론,1500,1500,2.5,2~3,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,서울,20,99,있음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
157,충청남도 더행복충남론,1500,1500,3,2.0~4.0,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,충청남도,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
158,전라남도 행복드림론,1500,1500,2.75,2.0~3.5,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전라남도,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
159,전라북도 더불어행복론,1500,1500,2.75,2~3.5,5,5,원리금균등분할상환,"운영·시설, 생계, 저금리전환, 학자금",채무조정자,신용회복위원회,전라북도,0,99,없음,1,0,999999,0,1000,없음,신용회복위원회 전국 지부 또는 서민금융통합지원센터 방문,-,"상담센터 1600-5500, 사이버지부 상담(cyber.ccrs.or.kr)",상시
160,쏠편한 포켓론(소액 새희망홀씨),500,500,0,-,2,2,"원금균등분할상환, 만기일시상환",생계,금융취약계층,신한은행,전국,0,99,없음,1,0,3500,0,1000,"연 3,500만원 이하",신한은행 모바일 신청,연체 기간별 연체 가산금리 3% (최고 15%),1577-8000,상시
161,VAN사업자대출금,7000,7000,3.2,특정금리,3,3,원리금균등분할상환,운영·시설,"사업자, 소상공인 등",신협,전국,0,99,없음,1,0,999999,0,1000,없음,전국 신협 직접 방문,대출금리+3.0%p,신용협동중앙회 고객지원센터1566-60001644-6000,상시
162,다자녀주거안정지원대출금,30000,30000,3.2,특정금리,30,30,"일시상환, 원(리)금균등분할상환, 원금일부분할상환",주거,금융취약계층 등,신협,전국,0,99,없음,1,0,8500,0,1000,"8,500만원 이하(주민등록등본 상 자녀가 4명 이상인 경우, 소득 요건 상관 없음)",전국 신협 직접 방문,대출금리+3.0%p,신용협동중앙회 고객지원센터1566-60001644-6000,상시
163,자영업자스피드대출금,2000,2000,3.2,특정금리,2,2,"만기일시상환, 원(리)금균등분할상환","생계, 기타","사업자, 소상공인 등",신협,전국,0,99,없음,1,0,999999,0,1000,없음,전국 신협 직접 방문,대출금리+3.0%p,신용협동중앙회 고객지원센터1566-60001644-6000,상시
164,신협 815 해방대출금,1000,1000,8.15,연 8.15%이내,5,5,"일시상환, (원)리금균등분할상환, 원금일부분할상환","생계, 저금리전환",금융취약계층 등,신협,전국,0,99,없음,1,0,999999,0,1000,없음,전국 신협 직접 방문,대출금리+3.0%p,신용협동중앙회 고객지원센터1566-60001644-6000,상시
165,우리 청년맞춤형 전세대출,10000,10000,0,-,2,2,만기일시상환,주거,대학생·청년,우리은행,전국,0,34,만 34세 이하,1,0,7000,0,1000,본인과 배우자의 합산한 연소득이 70백만원 이하인 자,우리은행 영업점 방문,대출금리+3.0% (최고 연12%),1588-5000,상시
166,우리 청년맞춤형 월세대출,1200,1200,0,-,5,5,원금균등분할상환,주거,대학생·청년,우리은행,전국,0,34,만 34세 이하,1,0,7000,0,1000,본인과 배우자의 합산한 연소득이 70백만원 이하인 자,우리은행 영업점 방문,대출금리+3.0% (최고 연12%),1588-5000,상시
167,시니어플러스 우리 연금대출,2000,2000,0,-,5,5,"원(리)금균등분할상환, 만기일시상환",생계,연금소득자,우리은행,전국,0,99,없음,1,0,999999,0,1000,없음,우리은행 영업점 방문,대출금리+3.0% (최고 연12%),1588-5000,상시
168,2022 울산광역시 소상공인 경영안정자금,6000,6000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,자금 소진시까지
169,2022 울산광역시 울주군 소상공인 경영안정자금,6000,6000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,자금 소진시까지
170,3D프린팅 연관기업 특례보증,20000,20000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,2016.01.20. ~ 한도소진시까지
171,조선업 협력업체 특례보증,20000,(Track1) : 최대 2억원(Track2) : 최대 1억원,0,-,5,"1,5",-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,2017.11.06. ~ 한도소진시까지
172,2022 울산광역시 북구 소상공인 경영안정자금,5000,5000,0,-,0,-,일시상환,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,자금 소진시까지
173,2022 울산광역시 남구 소상공인 경영안정자금,5000,5000,0,-,0,-,일시상환,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,자금 소진시까지
174,2022 울산광역시 동구 소상공인 경영안정자금,5000,5000,0,-,0,-,일시상환,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,자금 소진시까지
175,2022 울산광역시 중구 소상공인 경영안정자금,5000,5000,0,,0,-,일시상환,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,,울산신용보증재단 052-289-2300,자금 소진시까지
176,경남은행 특별출연을 통한 울산지역 소상공인 유동성 지원 협약보증,5000,5000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,기관 문의
177,국민은행 최저임금 인상 부담완화를 위한 울산광역시 소기업 소상공인 금융지원 협약보증,10000,10000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,기관 문의
178,신한은행 특별출연 소기업 소상공인 따뜻한 금융지원 협약보증,5000,5000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,기관 문의
179,농협은행 특별출연 소기업 소상공인 긴급 경영자금 지원 협약보증,10000,10000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,기관 문의
180,KEB하나은행 특별출연 울산광역시 소재 기업 금융지원 협약보증,10000,10000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,기관 문의
181,우리은행 특별출연 울산광역시 소상공인 등 금융지원 및 동반성장을 위한 협약보증,10000,10000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,기관 문의
182,BNK부산은행 특별출연 울산광역시 소기업 소상공인 금유지원 협약보증,10000,10000,0,-,0,-,-,운영·시설,"사업자, 소상공인",울산신용보증재단,울산,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,울산신용보증재단 052-289-2300,기관 문의
183,2022 취약계층 소상공인 희망드림 특례보증,2000,2000,1.5,연 1.5% 지원 (인천시),4,4,원금분할상환,운영·시설,"사업자, 소상공인",인천신용보증재단,인천,0,99,없음,1,0,999999,0,1000,없음,인천신용보증재단 각 지점,-,인천신용보증재단 각 지점 1577-3790,2022.04.15∼자금 소진 시까지
184,전라남도 소상공인 창업자금,10000,10000,1.4,"이자지원 : 연 2.5%(2년), 연1.4%(4년)",2,"0, 2","균등분할상환, 만기일시상환",운영·시설,소상공인,전남신용보증재단,전남,0,99,없음,1,0,999999,0,1000,없음,전남신용보증재단 각 지점 방문,-,전남신용보증재단 061-729-0600,한도 소진 시까지
185,전라남도 소상공인 경영안정자금,20000,20000,1.1,"이자지원 : 연 2.0%(2년), 연1.1%(4년)",2,"0, 2","균등분할상환, 만기일시상환",운영·시설,소상공인,전남신용보증재단,전남,0,99,없음,1,0,999999,0,1000,없음,전남신용보증재단 각 지점 방문,-,전남신용보증재단 061-729-0600,한도 소진 시까지
186,정읍시 소상공인 특례보증,3000,3000,3.5,대출실행 은행에 문의,4,4,원금균등분할상환,운영·시설,"사업자, 소상공인",전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,,전북신용보증재단 각 지점 문의,-,관련 사이트 참조,한도 소진시까지
187,익산시 소상공인 특례보증,3000,3000,3.5,대출실행 은행에 문의,4,4,원금균등분할상환,운영·시설,"사업자, 소상공인",전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,,전북신용보증재단 각 지점 문의,,관련 사이트 참조,한도 소진시까지
188,임실군 소상공인 특례보증,3000,3000,3.5,대출실행 은행에 문의,4,4,원금균등분할상환,운영·시설,"사업자, 소상공인",전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,,사업장 소재 전북신용보증재단 각 지점 방문,,관련 사이트 참조,한도 소진 시까지
189,순창군 소상공인 특례보증,3000,3000,3.5,대출실행 은행에 문의,4,4,원금균등분할상환,운영·시설,"사업자, 소상공인",전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,,사업장 소재 전북신용보증재단 각 지점 방문,,관련 사이트 참조,한도 소진 시까지
190,장수군 소상공인 특례보증,3000,3000,3.5,대출실행 은행에 문의,4,4,원금균등분할상환,운영·시설,"사업자, 소상공인",전북신용보증재단,전북,0,99,없음,1,0,999999,0,1000,,사업장 소재 전북신용보증재단 각 지점 방문,,관련 사이트 참조,한도 소진 시까지
